"seed","nind","size","seq","od","bias","maf","oaf","rho","ploidy","delta","pAB","pAb","paB","pab","updog_rho","polyrad_rho","uniform_rho","horse_rho"
194,10,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.619795096332011,0.61428551091982,0.402434100807749,0.297447752337836
89,100,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,1,1,0.910667386786953,0.772656886819145
57,1000,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.958641108711768,0.953770992619117,0.789993612814229,0.717225012307711
173,100,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.869993244946417,0.870258417475349,0.851941309475936,0.851247456672837
52,100,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.746110618271939,0.742099911392914,0.611899017382875,0.57265016713609
120,10,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.79900978721077,0.789828335970728,0.550341058861607,0.442960268860997
153,10,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.981862872330732,0.980808728526436,0.986062326936424,0.991249589198084
38,1000,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.900396294846124,0.895338148478655,0.738814836727298,0.682910502707226
8,10000,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.890554798113573,0.881749254322996,0.584063167552793,0.467046043815681
45,1000,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.921029814009842,0.915946617937166,0.759480748980005,0.694526267811373
29,1000,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.921326046690281,0.921186336086297,0.907821661124922,0.90760180978699
184,1000,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.901030261856897,0.900552399351787,0.886753675184575,0.886791857618842
37,100,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.807434605305178,0.800153747127543,0.536934511170408,0.413899859862301
198,10000,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.89035248354051,0.881395963811012,0.583246525909182,0.471819007549417
120,100,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.808686891565984,0.809480482618468,0.787811317820609,0.790685740713242
164,1000,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.92199628912688,0.912527233489141,0.602064464248195,0.496430040215693
108,100,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.456369855387351,0.451237583465984,0.295479550971063,0.23240576358335
192,10,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.785325956419187,0.778622627979473,0.613033728608465,0.570662057409835
104,10,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,1,1,1,1
83,10000,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.921381883033151,0.916636704538204,0.756321081125856,0.681390517267841
